date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:23	1678/1678	---M-Z	200	added ('OK')	text/css	etag:%2268e-5fe7ebdd55ae5%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/css/css_FYNG4OECqecxl7tqKpBJS2kJRAxFiJTRl2W5VRfH-FY.css	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/css/css_FYNG4OECqecxl7tqKpBJS2kJRAxFiJTRl2W5VRfH-FY.css	(from https://www.middlebury.edu/campaign/access)
10:21:25	317270/317270	---M--	200	added ('OK')	image/jpeg	etag:%224d756-5dac08c334e72%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/1376x774/public/2022-02/campaign-access.jpg?itok=HfyHhGHT	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/1376x774/public/2022-02/campaign-access941f.jpg	(from https://www.middlebury.edu/campaign/access)
10:21:26	47822/47822	---M-Z	200	added ('OK')	text/html	etag:%221689496179%22	https://www.middlebury.edu/campaign/philanthropy-action/access/leila-barghouty	www.middlebury.edu/campaign/philanthropy-action/access/leila-barghouty.html	(from https://www.middlebury.edu/campaign/access)
10:21:27	45650/45650	---M-Z	200	added ('OK')	text/html	etag:%221689496198%22	https://www.middlebury.edu/campaign/opening-doors	www.middlebury.edu/campaign/opening-doors.html	(from https://www.middlebury.edu/campaign/access)
10:21:28	42136/42136	---M--	200	added ('OK')	image/jpeg	etag:%22a498-5dead127b46cb%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-05/leila-triple-414x519.jpg?itok=OsFYNf8y	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-05/leila-triple-414x5195b7f.jpg	(from https://www.middlebury.edu/campaign/access)
10:21:29	545773/545773	---M--	200	added ('OK')	image/png	etag:%22853ed-5de1ed7e6ddde%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-05/College-People-2015-Rachel-Ochako-DavisUWC_414x519-HiRes.png?itok=2XDo1Ocr	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-05/College-People-2015-Rachel-Ochako-DavisUWC_414x519-HiResba1b.png	(from https://www.middlebury.edu/campaign/access)
10:21:29	706/706	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202023%2014:21:29%20GMT	https://www.middlebury.edu/campaign/access/appreciating-opposites-texan-embraces-difference-middlebury	www.middlebury.edu/campaign/access/appreciating-opposites-texan-embraces-difference-middlebury	(from https://www.middlebury.edu/campaign/access)
10:21:30	47974/47974	---M-Z	200	added ('OK')	text/html	etag:%221689496236%22	https://www.middlebury.edu/campaign/philanthropy-action/appreciating-opposites-texan-embraces-difference-middlebury	www.middlebury.edu/campaign/philanthropy-action/appreciating-opposites-texan-embraces-difference-middlebury.html	(from https://www.middlebury.edu/campaign/access)
10:21:31	30236/30236	---M--	200	added ('OK')	image/jpeg	etag:%22761c-5dcb5ca2a9c86%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-04/LeeCharles%20McNeil%20Thumbnail.jpg?itok=fTB6cBZE	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-04/LeeCharles%20McNeil%20Thumbnail1097.jpg	(from https://www.middlebury.edu/campaign/access)
10:21:32	466/466	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202023%2014:21:32%20GMT	https://www.middlebury.edu/campaign/node/22	www.middlebury.edu/campaign/node/22	(from https://www.middlebury.edu/campaign/academic-excellence)
10:21:33	133253/133253	---M--	200	added ('OK')	image/jpeg	etag:%2220885-5dac08c13a8dc%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/1376x774/public/2022-02/campaign-academic-excellence.jpg?itok=aKjhl9OJ	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/1376x774/public/2022-02/campaign-academic-excellence3bb9.jpg	(from https://www.middlebury.edu/campaign/academic-excellence)
10:21:34	550/550	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202023%2014:21:34%20GMT	https://www.middlebury.edu/campaign/priorities-and-goals-academic-excellence	www.middlebury.edu/campaign/priorities-and-goals-academic-excellence	(from https://www.middlebury.edu/campaign/academic-excellence)
10:21:35	53583/53583	---M-Z	200	added ('OK')	text/html	etag:%221689496275%22	https://www.middlebury.edu/campaign/philanthropy-action/sonic-art	www.middlebury.edu/campaign/philanthropy-action/sonic-art.html	(from https://www.middlebury.edu/campaign/academic-excellence)
10:21:36	24954/24954	---M--	200	added ('OK')	image/jpeg	etag:%22617a-5de97af481be6%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-05/sonic-sound-triple-414x519.jpg?itok=XcE31nCJ	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-05/sonic-sound-triple-414x5196035.jpg	(from https://www.middlebury.edu/campaign/academic-excellence)
